Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539976601,6547898.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0xde98d2ae8b39b5d02b0ee9808918575ef0846449d6c6a1f033a041592ff25ba8,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539681851,6527013.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x7d720e6d105d9bda052792f67265720cc5d5ac24daa77ca408e746091cee6893,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539888208,6541660.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x87d9dc81b0f0dcfb67f0c94a4089a03430697094d433e3e6cb69f7d447ba84cd,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540323585,6572486.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x9dc8552829ea12bf545a256db9e1319d48e0a61622e7ee93a3ce183a8e66172c,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540149524,6560173.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x69f052cde0c0bc04d395beab643348e1f6a3a951b4fa9264f89dac4be30be691,internal,call,0.75565 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539768377,6533141.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x061690584f9295d18650e8dc8cb59cc0f61a85f101f1f40fc4275d305a5d2878,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540498890,6584940.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0xe3ae619262a10e98904211491beff48abe4759ec8eca1ecad3d914dcc89efc79,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539595240,6520882.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x83a54844c2b7cf6fbbc2d98deaa672a3aba653950f891e37b54f7c5858f6d172,internal,call,1.5113 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540410403,6578640.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x5a564ca62ec68f4dac436c554531619171fe0e745bd6f82f653c306f76950161,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540236851,6566332.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0xde9683284bafb28c55a151c318f7b985ea40a076b1a57b914a794a4ccfdaf0b3,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539076276,6483895.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0xa8e8eac4a7450f591b0c76b6d1f72515ba65f1aa664f06b5698cf125c736d613,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538643982,6452966.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x54b7c7a5f16219a6289ebfa6db673d70fb60aad5ab3373d14c6c0457526ccc60,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539162958,6490078.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x6f2d7af1f89c4d6e4119d86312381db4e9fb4a20c1a030b83c3579f13b45c001,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539249493,6496214.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0xee9805de5e539e5ec8b1e961d31c3004844bf9269f647af46d96f1ef3ce5fb66,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538557495,6446811.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0xa4a8150bb18815610ce1608506108f2d90d8ff71e283f06bb8e160ddf0a96894,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540585341,6591060.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0xc94ebdabac109e90d7fbfe47fafc8a69eee569f5b20eccb19453a8bf55097f6a,internal,call,0.377825 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538470872,6440687.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0xb2d7e8eb7d279cf6fff5f1b43eff189342e5f8460cd83f34e348c0b4da6cda97,internal,call,0.4675 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538989726,6477730.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x0e01a2f38f5190abcdc6bc1426e2c4f13636cf1ce090b278612fc98d60ca2167,internal,call,1.6002 Ether
