address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1545647860,6945829.0,OUT,0.0,0xc07216491776df133722cb86a2edf84c4e8948682a842915ad72f4b83c6e6886,internal,call,20 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1545647646,6945812.0,OUT,0.0,0xe736c6dac6495ca9b446fa8b90e353e0e9429384b7fb275a04eb53738c0dc10e,internal,call,20 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1545595648,6942224.0,OUT,0.0,0x9c1a2e229564f0245a42e36044eb1b0101a7cbef2542abbf47aa82f6c2ded7e5,internal,call,12 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1545683268,6948230.0,OUT,0.0,0xe0deaa40b8f5f045e6af49f55647f63710416757aef433558f03f5e47bea892e,internal,call,50 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1545683039,6948213.0,OUT,0.0,0x5058bc5f69265f55c2cb8a564ac13dcd26dd846ae0abf9cd35f0e4ca5f697ba8,internal,call,50 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1545682748,6948192.0,OUT,0.0,0x9fc86d8edebc8d38d1309f57525f86af00e724a96452b583c4eb47f535ce9e67,internal,call,35 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1545591821,6941955.0,OUT,0.0,0x7a6e09bb3878840818b36cb18eed1c047e07deec982f864dd7bb02eede19d21c,internal,call,10 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1547073866,7041044.0,OUT,0.0,0x436e7ce3357cafad153ea9d48cfb778255c7541b85d2347758bdc514ee1eb787,internal,call,35.468539405547279 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1545776722,6954658.0,OUT,0.0,0xd4fd6626d8ee6f3db5c1a95101e6b33ebb71c70dcec76c37438ed5c33ad26ab3,internal,call,43.912423580786026 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1545336512,6924553.0,OUT,0.0,0x6c65173f223f12543c16f1a05de296762db478d189f4e0304400c3c0bfc72a5c,internal,call,15.772727182057989 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1546598985,7010327.0,OUT,0.0,0xd9bbff46f9df7b6e5ec7646c7f596c430414db7410c7d65c49fd87d501e4e23c,internal,call,35.796311841485397 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1545043964,6904733.0,OUT,0.0,0xc23262dc5f0e23d7516056c155794cb5ae45c062ff4dd035b70bedc3ff3ebd20,internal,call,10.526315789473684 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1544180633,6844267.0,OUT,0.0,0xd323eda907348bcf8d6e6846a50d753849b2f2a503aeba5baff9d420f13e9e8c,internal,call,8 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1545180307,6913975.0,OUT,0.0,0x59ae0bc3c6f217cc1ad0e782dd6f3aa3a13c0a6f0d418340a06403af1da04f53,internal,call,22.999895115227302 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1544182051,6844356.0,OUT,0.0,0x1c9ca001717e861f250c2e5ee9dc0bdcf455cad9fda5831a421b3e8f8f543ef2,internal,call,8 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
