address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541726764,6671547.0,OUT,0.0,0xb7273789c5cd9bf49b5d8d0ac8dd3c957bec2718b8cbfd02158094d792563a4f,internal,call,0.440122950819672 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539913815,0.0,OUT,0.0,0x01d0cc152554dceb5c25a47380953b8f2e0ba366382418c81497936ff45cd6b2,internal,call,0.1 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,1
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540003558,6549794.0,OUT,0.0,0xcd8c571e5440ae2b3c3d536a2113e59a76403a3597e3fe94a07886571231c05c,internal,call,0.155852459016393 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540110360,6557359.0,OUT,0.0,0x6f299cca330a1f18add509fbfa708d84cc4f2d0289e0775aeb618b75ae62976e,internal,call,0.186024590163934 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,1
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541421878,6650069.0,OUT,0.0,0x7fc845f7ea7d34d3342a9d7cb0cb861518cd52f8903df6f057bae9580fe8616e,internal,call,0.84242213114754 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,1
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540207908,6564242.0,OUT,0.0,0xbbca240b71be28c774e9723e94414a142672eeb9b28dbef428fb0ae83870ed12,internal,call,0.169254098360655 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540881529,6612004.0,OUT,0.0,0x3397839df79d4ee5af62e0453fef81975c52043d28afb41712f425398be72fa8,internal,call,1.011098360655737 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,1
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540301191,6570886.0,OUT,0.0,0x49fb0c9c6ae89c84bd6c068c055c77b823922a7b737b1b2a11b5252139343d2e,internal,call,0.163377049180327 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,1
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541955036,6684694.0,OUT,0.0,0xed0be6ef9512283e844e4abef7a7ddefb362115131e0b9d75d5d8184df49c474,internal,call,0.078524590163934 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541857810,6680862.0,OUT,0.0,0x2f2a424b52b5e5423c7f04b12e5a5b7aacb8246649bc22fadfaa0626ad1e24e5,internal,call,0.190881147540983 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,1
