address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x35027a992a3c232dd7a350bb75004ad8567561b2,1544973921,6899974.0,OUT,0.0,0xd3b3842a3f90ccdfeff7c551f521216e244052ec2adb93097fbabedddf43d4e9,internal,call,0.41873220338983 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1542458828,6723364.0,OUT,0.0,0xea1e22b9109706e42fa1c5d30251c4eb8d5b14193e11adbba027c406ba6933dd,internal,call,0.65 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1547199272,7049155.0,OUT,0.0,0xe5d7218d437c834a30c115dd9a68c5c92872bdb809a4818ed86dbd3d71e39f66,internal,call,0.568981355932203 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1540783273,6604983.0,OUT,0.0,0x5e82d9e21521440b2673f7fddddf2dc85698e9738d9e8ba4084e7cefe92d14f5,internal,call,0.361653389830508 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1546445520,6997509.0,OUT,0.0,0x193ff59b87d788933bae1d1cee34a83e2be0df37659e50c1f4205d9fb1e19ffd,internal,call,0.517311864406779 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1545716897,6950553.0,OUT,0.0,0x088acc0a08d2a8ad44e5e690b8d9e06472a0269a5a5710620ebc930f31d8e213,internal,call,0.55722627118644 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1540319172,6572156.0,OUT,0.0,0x06a171a2e1ce69e85808d2698303458aace84b230b9d996afc3d7a9b6a64a8be,internal,call,0.246614406779661 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1539252333,6496457.0,OUT,0.0,0xff86ac80c886d209969904c2f8cd060f9512362469753f13d32ec8aacfbfbbb3,internal,call,0.203075423728813 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1547699033,7078732.0,OUT,0.0,0xc9ece185f78ac39eee33476483e0fec19796adcf2b5c38658cac5a5384d92ed1,internal,call,0.325848305084745 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1543768573,6812445.0,OUT,0.0,0x62e72798acef5901e3b3fdc91a9e0e762cdd5d8c0249b4ba2e058c5ee0ef49ed,internal,call,0.65 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1544432444,6861966.0,OUT,0.0,0xacc2436f18661e8210b20ac2c7dc21cfa1b8f964adb1e3f4130d38ab5eb737e0,internal,call,0.54557033898305 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1540003271,6549771.0,OUT,0.0,0x8f78341d7ced7b693596e23e46b53ebb52c4236a9b8ed47d67b36bc01279356d,internal,call,0.06183813559322 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1539967376,6544158.0,OUT,0.0,0x77ba0210517d86b6fb0b3a5acd8bdf30ea386469d0a25f644402269a57bb9e80,internal,call,0.053134745762711 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1539855019,6539335.0,OUT,0.0,0x3ed95e5f8b8ffcb5f51d97f87664c5fdce21890d3e9a9534f90ea32468517edf,internal,call,0.132137288135593 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1541148826,6630806.0,OUT,0.0,0xaf00315eeb710708d1fdc821f96286d6e4d976e096c7628bd7f0e8ea97d6eece,internal,call,0.152177118644067 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1540952014,6616993.0,OUT,0.0,0xf78d597af5ed195e257afcaef8c86f00bc6b7af8dc59085104a0cc045fe74165,internal,call,0.132313559322033 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1541585523,6661609.0,OUT,0.0,0xa3a0251f3e3e953d15e75f7992bae73579dbd01e6ad113866e4a9d7cd0fe475f,internal,call,0.339355084745762 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1539686617,6527341.0,OUT,0.0,0xa07031b2fb44a47a843580cc09f89b838573a91381bfd64e1133f889dadfda26,internal,call,0.089193220338983 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1539571652,6519245.0,OUT,0.0,0xb658e34dc8f07bbb1412c5ead50e1068ce84c7a8fc8b5e05abbc67e61f0ed738,internal,call,0.064548305084745 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1539489556,6513386.0,OUT,0.0,0xb4267855e1c302d75f164b3bdd14ea74404a8cdee1d52b92a5ae7ca7e47c6231,internal,call,0.034692372881355 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1539445454,6510237.0,OUT,0.0,0xf399a6a0bf5b5e6befd429267e2f90fcd24b610ee2b40d950f85fb50a22b089a,internal,call,0.094172881355932 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
0x35027a992a3c232dd7a350bb75004ad8567561b2,1539325703,6501689.0,OUT,0.0,0xfda5e0a1ff1c2a0a33ae55f50eccb67129d446cb4ed85b6ee1ad4ac7794bf2fd,internal,call,0.057640677966101 Ether,1,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,2
