address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538066936,6409124.0,OUT,0.0,0x67acd555457e20d6cf551cabd6e6f82c702d31be67b7cf5dcb919b69ed1a5007,internal,call,0.044444444444444 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538065979,6409058.0,OUT,0.0,0xf02cc42a28b9ccd4f5de0f0ba4aa97260caa896282fbf6759abe1cb217705495,internal,call,0.066666666666666 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538064515,6408962.0,OUT,0.0,0xb3997cdaed653d8bcf4b84199ac92c95d22f9632dd200ae1c33c573f5864773c,internal,call,0.044444444444444 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538064501,6408960.0,OUT,0.0,0xb3189cc79f4484e0a3c6310806cffbb98614dee717c50d9cb8ba145493ba2c39,internal,call,0.22 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538044434,6410565.0,OUT,0.0,0x1cc674f652e4a6576057092eb4cf80c26f2031baf566377c13e5f4b78052a7c1,internal,call,0.002777777777777 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538044359,6410563.0,OUT,0.0,0x8cc866df86bbf6c16dafea390b9938b3e0f60d9932541a331fe6725cd336b589,internal,call,0.113888888888888 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538041938,6410379.0,OUT,0.0,0x28620330b511923778a0e7e7112eb2c6b8ae346e853431fe06a15443142784ac,internal,call,0.091666666666666 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538062216,0.0,OUT,0.0,0xbcab66d452c40163bdaec6b392d280818691c50c05ae04c48b85b9cb75ebecd3,internal,call,0.158333333333333 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538051498,6411046.0,OUT,0.0,0xe5216909606e778c3a18cf7e6b13436c8a6d90acc861eb000cd499c7e056dcd5,internal,call,0.027777777777777 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538050915,6411002.0,OUT,0.0,0x278ec17ca9b03a81920e4bb9d7ab43c71e550b7b4eb48ef38361f9b9cfd9f3f0,internal,call,0.080555555555555 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538049168,6410868.0,OUT,0.0,0xc2fa13d1a99ab896e261786bc521267cc800339c2e379dc4438b01174a2a3766,internal,call,0.027777777777777 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538048610,6410836.0,OUT,0.0,0x27b1ac327a04d754b01bd0f010571dd55e0a94106a768fca21388e099748d6cf,internal,call,0.191666666666666 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538058810,6411593.0,OUT,0.0,0x18bf00c0dc03d7f62b58f9bc04ab48d1ca61543e510b19f94194fd6e45e9324b,internal,call,0.063888888888888 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538057501,6411502.0,OUT,0.0,0x45e9a18ddbc7bb2e998356a32f2e6769a79e92738761767a1555c68398c71190,internal,call,0.011 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538057403,6411494.0,OUT,0.0,0x676fd09f33ad409e95a45ed19f12e786fc8d11e7b1ad3fdd6698a598c697c832,internal,call,0.272222222222222 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538039930,6410233.0,OUT,0.0,0x952436e593f28d8560f02ce8085df8345b3134f6b35bf8d07082c7469abdc0d2,internal,call,0.105555555555555 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538037660,6410087.0,OUT,0.0,0xfacfc0d2f96fca37027442e20124257656530af3879ba16c2bb14e49891eb1ac,internal,call,0.086111111111111 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538035774,6409959.0,OUT,0.0,0x223f3133fb35026640ea601201750fc1fe0f4555d5979a53f782f407f0c166d8,internal,call,0.386111111111111 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,1538027442,6409392.0,OUT,0.0,0x53345f3bffe0e70c034c24c361806e3d6c6343f13d3e03270b04ebadb5f81893,internal,call,0.1 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,1
