address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541771227,6674720.0,OUT,0.0,0x87ffa29947fb33ec1610aa0f4864e1f83f6e1dd5a5a95e752b42bfd73e5b53ab,internal,call,0.016101215277777 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541848530,6680189.0,OUT,0.0,0x64f2a4a90e29d25fb15ef5cfffaa73ba3211071a412345fa54a45ed94ed982ab,internal,call,0.013420659722222 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541601979,6662782.0,OUT,0.0,0x32558bb6b2fbd43e634eaf5f33bdcca03ab31b796a5932d12cc78a4956c03f12,internal,call,0.031237673611111 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541213822,6635372.0,OUT,0.0,0x8e5f08f4e89a6b2a262dffa58ccc50d65be88be4a8bbf1a14fef032776e8d688,internal,call,0.0255421875 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540904971,6613587.0,OUT,0.0,0xdab8a25071a12b6cb36180f181753f087ef5d17ad3b07540ff88a9b7e298817d,internal,call,0.016617881944444 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542631237,6735520.0,OUT,0.0,0x2ad1d25950ec390d0bb4573cef8c3ef6d53aa2c92fdae0e13ba56701f481de48,internal,call,0.013472743055555 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540745910,6599379.0,OUT,0.0,0x1829e5438a74c870d01014890b791f2f3e405d3afd4beb7e9b0a38cf3f8fe5b1,internal,call,0.012328472222222 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542553634,6730150.0,OUT,0.0,0x62daf49108401bb4b55fd35d61733be41d2541d66c939ba94b41e0eb6319dc5c,internal,call,0.015948263888888 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541422050,6650082.0,OUT,0.0,0x2e391a4a256c0fb8eadb399dd694a8ffbdaa2fdd080f9b937e8c916c8fe6a06c,internal,call,0.020873611111111 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542289531,6711372.0,OUT,0.0,0xc1be5e0926e36cc0cabaf962341d958e857c31b593ca0e52c605d4b693364d3e,internal,call,0.024466666666666 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542461772,0.0,OUT,0.0,0xd4968891cf362faa779b58af4458db97766274b0634c1b515164a3eb196a5eb5,internal,call,0.014796180555555 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542806134,6747798.0,OUT,0.0,0x97545bd8212f879ecc30b2f56e4f42ca5d98394c67c49781e0a4615063ff64e9,internal,call,0.014676909722222 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
