address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1538146662,6417768.0,OUT,0.0,0x621fb4fbdcdb7ae55938a0f592726df8231f43cda4a471a28661230289a2dd9d,internal,call,2.4190992 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1537230737,6353422.0,OUT,0.0,0x5211026373b77eb8d02c94de073396be580818257d56d399fe77775a1609f70e,internal,call,0.8328521 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1537015373,6338288.0,OUT,0.0,0x83d3316e0db1148d887a6dd9bc96dd3ea428c3e2424fb7379b1c40cf562034aa,internal,call,0.5949601 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1535358720,6223875.0,OUT,0.0,0x068ca5400bead838761c61e4c92b9686700066ce23343714240fe6b266032f3c,internal,call,0.0977489 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1534637626,6174402.0,OUT,0.0,0x4e1472883ad68a6c00fbb8eca260148e54f25efc9ad4ac3961cd7968eb17b6ff,internal,call,0.1783804 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1535204698,6213291.0,OUT,0.0,0xb2642b087db4666764b453ef6969a21108aebfd639fd8e9e7e84b85ca66db43c,internal,call,0.20501 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1534803664,6185811.0,OUT,0.0,0x418b04018f7236e6d85218d3f222b4fc5709566c9ac123a19b03e444b3eb3498,internal,call,0.3819983 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1534579179,6170354.0,OUT,0.0,0xa858459b806a8efbe8b473b649c697c7cfff20d02bf999520c0e9fb705233c64,internal,call,0.2493716 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1535194969,6212600.0,OUT,0.0,0x312b7429286380baefd3316958e135b10236258615b245a6a1d60a6471c45da4,internal,call,0.1291563 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1534660159,6175967.0,OUT,0.0,0x47cf8230678d6318c08dfa6334418c13c9ac054bdd399fb2b16071cdcc03a07f,internal,call,0.0552393 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1534956145,6193367.0,OUT,0.0,0xd9436a839b753b5773ecc6473054470bd64d9523e137788c202fabf17078f3af,internal,call,0.2343518 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1535011726,6200048.0,OUT,0.0,0xbed89de2dc501293c22e2b3531a0ae053e7f7d60ca0769c691932d92eed64b8b,internal,call,0.2263668 Ether,0,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,2
