address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542519363,6727689.0,OUT,0.0,0x18b4d7b4d2be9a8f1305343bcc442bde3c28a4e807499051720c4cd790c139fb,internal,call,0.09 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540939559,6616087.0,OUT,0.0,0x18c63ad9ae0e100f24361a22412ec9ab230a41f110e3adf854a3505343c40f44,internal,call,0.011962083333333 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541162980,6631807.0,OUT,0.0,0x7f2fa36291a555a800f3c77da40c615cfc9ef350b43fc17078bd12b5c17dcb8d,internal,call,0.067234722222222 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540969344,0.0,OUT,0.0,0xb2e2a57b00b2a17d8efb4ec074c284fe1c37b407746b81a990515c5ac41cc0c3,internal,call,0.002068402777777 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542751953,6744011.0,OUT,0.0,0xc622866ce7d2378b4858904cfe8b63e922521462bf92c3548fb767d2e5c21051,internal,call,0.080760416666666 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542235858,6707553.0,OUT,0.0,0xb3d4513cd66f3c002a4fe851e04e804ce3c033b1c9ccdc7dcea7cf9862606302,internal,call,0.09 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543031412,6763763.0,OUT,0.0,0x1f25365dcb3459492d0a5df482abbf6b1930ecdcc4674efd3d7b357d6f69616e,internal,call,0.09 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541899785,6683803.0,OUT,0.0,0x264628538c00ebdcdeac4cdf8263ad0320f966c2a4027d1618d65ba03e3d534e,internal,call,0.085246875 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543359582,6786810.0,OUT,0.0,0xc8df2c043535843ca550480c1977a78e016ed964d9d62956be44f4302353fb3e,internal,call,0.021950347222222 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541407624,6649047.0,OUT,0.0,0xeb2cf14c8e7dc758b87d62d1d2bb9ccdf9b9b41b5d179945e1b929634e5473b2,internal,call,0.084945833333333 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541654274,6666468.0,OUT,0.0,0x73c62853ddf26ee8cccc7cc42d0ce457cf7a63940af22d59b1e4289f0b2e5a1a,internal,call,0.085642361111111 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543296365,6782394.0,OUT,0.0,0x035f77338792d3a1a87c04bfc7f5e7f6b8f70d92868b97de2bee92db4493ef4f,internal,call,0.09 Ether,1,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,2
