address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533494491,6096182.0,OUT,0.0,0x6582e3647acb017c2d340ae3e12eb53875bb161c4a4309161f064c077431ade3,internal,call,0.009704794751436 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,1
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533334045,6085170.0,OUT,0.0,0xcb14c69a2650104edcd0bd5faa15ead927e7ebb0501025443c62e8e1646664d8,internal,call,0.020643424245079 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533479639,6095176.0,OUT,0.0,0xf73d71a5df26be0834b8911d8d043b8eb9370e43d6db196d7c8a7f3561e8c122,internal,call,0.009274373152601 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533454768,6093460.0,OUT,0.0,0xdd66a70dd3d6e52be2dea7a30670691ae705d1f96b13680781addc30db52a31a,internal,call,0.005377468490796 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533460270,6093820.0,OUT,0.0,0x4136ca319c50b8cdadb67f131240dd6af059ef771de106d0cd6782dc3879dc03,internal,call,0.014845708817238 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,1
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533475313,6094867.0,OUT,0.0,0xe428f2f81b5fd142872f4d57f01562846c68ba3d42180025189225be21f704f2,internal,call,0.015217910590955 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533529371,6095644.0,OUT,0.0,0x0e2f8b346ac6fc9899fbacae1b0bbae54b81172aa0a3019aaf5fd8bf25873cfb,internal,call,0.035195740819076 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,1
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533309563,6083422.0,OUT,0.0,0xe44ec6d0c0230b4b07a54ce3fee4dc45c62f70efa95e32d0c816a24763852a0e,internal,call,0.014627157912292 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533144107,0.0,OUT,0.0,0xa40078bd6bf62aa811976811b6830af2e214939c822aee3b348d586f340e31d6,internal,call,0.009644711068543 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533411003,6090482.0,OUT,0.0,0x04dee36d30aab15d6e81632c2b036142e6a82036e9f0f30dab36972b2b2acb47,internal,call,0.015429651500866 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,1
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533418484,6090995.0,OUT,0.0,0xdee6722d669a02324d3cfb6c60b0a44af9c2f6b820b7eea957bb579fdc0079f1,internal,call,0.013437644516609 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533296223,6082493.0,OUT,0.0,0xca7e9390e32c5878865bd0b17d514bb4b2e5d1ed250a6594f0eeaa745c740f2b,internal,call,0.01323831300832 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533235654,0.0,OUT,0.0,0x0c2bf7dd6d3f553782211293a66463e0b82864ef0ce5af24a3d1b313d92eaa0f,internal,call,0.032877882722606 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,1
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533140872,6068974.0,OUT,0.0,0xe2fc3cc4bb8f387a34ed04854db60f31a3f8b9fec257b9e802b7192ee17e766e,internal,call,0.013251851136779 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533382302,0.0,OUT,0.0,0xf33a4f9ace07bfb1654d65580cb5ca8a609c7bff5082c2c36f96549ca338bfad,internal,call,0.010542476596434 Ether,1,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,2
