address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540130278,6558799.0,OUT,0.0,0xf8341c6df0aa22453197243e9f884deaa08fe57fa4fc6139605d7e26908a9327,internal,call,0.038227868852459 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539183589,6491559.0,OUT,0.0,0xb22481f722712104ed2c24990d6ea5afeb786d8c0a5867101b44dd5721386563,internal,call,0.017247540983606 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,1
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541799099,6676664.0,OUT,0.0,0xd8c8f892154d72eaa4df14bd476f3645e86f91b9208aba5ea72fb1795196a377,internal,call,0.019854508196721 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1538986990,6477531.0,OUT,0.0,0xb55369332d0a6695321a6265fe84f487031bf2e88db2c175416ba65a854e3e5d,internal,call,0.031557786885245 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1538647190,6453203.0,OUT,0.0,0x69989454f782eaf18e64e922254cf16a086ffc966f01872ad368c9d2c392b126,internal,call,0.005 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540971774,6618346.0,OUT,0.0,0xb8d45ea7c06cef310c171809e13b0393473febc4541da3b0b0ce8e5c496adbc7,internal,call,0.073213524590163 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1538633081,6452213.0,OUT,0.0,0x6804bfb7e666fd8c79a9e6b48712f9e8f81ca91db72aaa7a47b6ffb6822d12b2,internal,call,0.0024 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1538671403,0.0,OUT,0.0,0xb4b3811f4d949a36eb9f60fc08127a4fd1b71c28a481cc53d6c0b97bed8f68d3,internal,call,0.005 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539691867,6527707.0,OUT,0.0,0xcfe51dbf3a7b408d2e27ba8cdec11fbb03e6caab7e068fd843e5a8399e88c375,internal,call,0.044444262295081 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,2
0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541524528,6657286.0,OUT,0.0,0x85890d3e5c13216e43be409284d67e3e9900464151639a163319e17659a7f94d,internal,call,0.043089344262295 Ether,1,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,1
