address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1541126289,6629188.0,OUT,0.0,0x6b46be2cdfc166386a683c29874831fa57c45c8b108532f0c1d06a9182dfc1b1,internal,call,0.099779697513153 Ether,1,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,2
0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1541206039,6634815.0,OUT,0.0,0xfab154688f0bc8ecd6be830261d141436f477cc72916ccf5dd1928e42dc7405b,internal,call,0.022644228201945 Ether,1,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,2
0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539594050,6520805.0,OUT,0.0,0x4292508d443c8338f55c32658486de1f5658e5bad3a0ff9dc0cf927864b15d06,internal,call,0.025803630423927 Ether,1,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,2
0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540029330,6551626.0,OUT,0.0,0x684e9b5c7324a4d333cfda1121063f52c586463c2ad13039c3b72ec1845f9849,internal,call,0.123593475256964 Ether,1,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,2
0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540774878,6604432.0,OUT,0.0,0xc8c454dcb7639488193e2f45b814a5e72c4600e042a2b3189bf4979603ebd2aa,internal,call,0.07020931685315 Ether,1,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,2
0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1541376743,6646861.0,OUT,0.0,0x93e646afdaf53367436f7473c19ac5f707aa680abee772af89aba7e4549a0db5,internal,call,0.02212490163917 Ether,1,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,2
0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539503173,6514364.0,OUT,0.0,0xc418ea3301785caf8b7b6f3f649b83567b9555630089aacfad27f99dc03da4c6,internal,call,0.018469172007821 Ether,1,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,2
0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1541298822,6641438.0,OUT,0.0,0xb2230c9765a95d47fb183544e674db2ec3e255299e1c1b67809445c214ed031a,internal,call,0.026344820379449 Ether,1,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,2
0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540570810,6586927.0,OUT,0.0,0x44c695be662b79f00999ee23e9753887ae0823fa16d93d804f53c451a49e1e5c,internal,call,0.051959346653126 Ether,1,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,2
0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540344616,6573965.0,OUT,0.0,0x039a469500610cd08f1fcd3c46b5d3668ddb8e33e1511b7e6782c8f705009583,internal,call,0.089522359032961 Ether,1,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,2
