address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539522388,6515737.0,OUT,0.0,0x6fffbc56270edc32544cdae77b3d85543edc660ef25eb9f0ea8809e9b7207ed1,internal,call,0.0425425 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539608975,6521855.0,OUT,0.0,0xa0058ba5dd92217f80c85e57469eaacf514ad9ae2f2b6028f4179e7407c8d581,internal,call,0.0425425 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539963958,6546989.0,OUT,0.0,0x172c6a3943e4f4fba82f97472d4dab0a70f07e154c388df1443ff3d06cc3aff3,internal,call,0.0425425 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540083635,6555509.0,OUT,0.0,0x671cb50a632da6113653f63ec79d2ef2a08c2a4f8bbfd54dd9240dafca91da82,internal,call,0.0425425 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540347175,6574138.0,OUT,0.0,0x0ffcbbdae833c19b9fc73358df467f47105db88665ebc1824fcf2cfa46297ffe,internal,call,0.0425425 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538912667,6472210.0,OUT,0.0,0xf75a7cbb5d4dde2e8329cf2aed2ee331f0e7885fa0602369ba7bd7a99ee2730f,internal,call,0.045045 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540520959,6586470.0,OUT,0.0,0x1be1a05065fd9ddac6d66bd6a36c71043d35dc514f80f3fed284067cac4ed705,internal,call,0.0425425 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539172664,6490796.0,OUT,0.0,0x2aeb0e86c16c63d6b166b9aad971e2ec0b7a88018c9c0908a0d54090c1634434,internal,call,0.0425425 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539782026,6534134.0,OUT,0.0,0xe49d0ec4e4d15c1922a6bd3f5c4b72c7a5d45137e8c464a700c8d70c3d7cd04b,internal,call,0.0425425 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539870532,6540409.0,OUT,0.0,0x446523ff8fa697fa53629cf2615138ca6ac33fa42980c91f9022d34d1a5ae703,internal,call,0.0425425 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
