address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539068370,6483366.0,OUT,0.0,0x9589dbe45262251a909a8cfe76deb0aa61f7c8548fbfe11377726429443c1799,internal,call,0.833972949152542 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1538783975,6462949.0,OUT,0.0,0x008bed68c1d5a8bdc9f91e530f6085b3b256c6866704ac8d0d5f20f1292c7ccb,internal,call,0.230507457627118 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539753911,6532108.0,OUT,0.0,0x5772023bb27dfc93c476577b70a22a55e6e06e841b4915b5ea2010dc9ff02bf2,internal,call,1.262366847457627 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539847466,6538780.0,OUT,0.0,0x8fd844bf9fc5f42ca07dae0ab026aca61b93f44f462842a7682556e87a110377,internal,call,1.095112677966101 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540994182,6619962.0,OUT,0.0,0x33163aa78f0c48a0b497e23390e60507f07866f1d53dfdc91cf2eb2b000473a7,internal,call,0.214689355932203 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539094236,6485164.0,OUT,0.0,0x97f82c1670d300b6ec669fbd2a6fc7c9aed4ddf1d048ebb7b6086753772dacf4,internal,call,0.295115796610169 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1538997210,6478285.0,OUT,0.0,0xc766212d4805335486b81807c13faf4e91afaf9f7b7ddac2a4e95d21e7e13004,internal,call,1.091337559322033 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539585579,6520202.0,OUT,0.0,0x8107a759613ea4216fc24ab1cd4620892c005ee6a3b5162383703e900e1f5ab5,internal,call,1.183581762711864 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540893506,6612801.0,OUT,0.0,0x92ebc842d73cafd3b558f309d2e331810c00471df3aa7b81b993bc695b9c9969,internal,call,0.894046576271186 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541025077,6622110.0,OUT,0.0,0xc02ca7dcd8440ef064d3b9d8e34de5d65dc462af81f4b2c2994804335b350a4c,internal,call,0.352563254237288 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540112850,6557541.0,OUT,0.0,0x645c0ff16e6fe2fcc2967b8e97cb26acb685ae762043211ac6e3bbaeba49becb,internal,call,1.437827796610169 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539270918,6497787.0,OUT,0.0,0x096c00e8e2dc365b14ab4a08d1f9bead4204c2481c1138b2f00c2fac306f5b77,internal,call,1.300446305084745 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540715890,6600273.0,OUT,0.0,0x331430e05f7fb9efcfca88ceda6d5fa34fad2ed162a260ca94f4afe67ac1156c,internal,call,0.805905762711864 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540976149,6618654.0,OUT,0.0,0x1ab44be23eba043389500c515b08392dd905e55610740a21f46adb09b464069b,internal,call,0.236026983050847 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540646460,6595363.0,OUT,0.0,0xc939e4c3af18768abb040a5dec9154ddf33aa7e0f3ded6a677ef8ca1314936c1,internal,call,1.052601559322033 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539919068,6543789.0,OUT,0.0,0xd8dc69c5da4b03bf02c7e2622e47a1170b8afc546c37fdcf2f560b2bfc5fe1e5,internal,call,0.822155186440677 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540277038,6569171.0,OUT,0.0,0xd2dcc9d5ba272949c092dd4e41ad53352f995beb9fdc1066c3cf9b3e567cb4d7,internal,call,1.908896949152542 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539159899,6489864.0,OUT,0.0,0x5f059ba0cecf819bb52796d10dab6d6c21fd1334e22edc58cba8f5730986e1c6,internal,call,0.771437288135593 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
