address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540359314,6574996.0,OUT,0.0,0xbc3807bcf693c7eceed8181a7568c1b77f7f9d1294d12eb52b12edd6a386e6c7,internal,call,0.085 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540445881,6581141.0,OUT,0.0,0x65b61ce3eb779a5d71c597b60761b1323fadf274b269ca1c6ecd25d0da677663,internal,call,0.0425 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539820245,6536859.0,OUT,0.0,0x1b83a273586bc2db99d13724b5dc820f814d0f256edabac1560f8b8ae5841c29,internal,call,0.085 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540166067,6561324.0,OUT,0.0,0x5d1e54cdcc01f38b03432caba10f853ea9b285e260d4f3d3a45662ed3d29233b,internal,call,0.17 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539300050,6499902.0,OUT,0.0,0xdb74c7da7b96cc724e5028b6d6bb9fedd8ab131d5e2611c5cc807a06f52fafc1,internal,call,0.085 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538778996,6462608.0,OUT,0.0,0xd30c5f4148bbb70a3b688ef452b689586bdc1697c2965ea1977997f4ad4cff99,internal,call,0.085 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539125013,6487395.0,OUT,0.0,0x4036b5c8c4ead618f835db4eb9c0644295d8dba573b86a7c0a8027f0720ec088,internal,call,0.085 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538951988,6475034.0,OUT,0.0,0xd2d12fb4290dcfa76f8beb80fb812fa83d99ab265973897ec859b58629af0789,internal,call,0.09 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540532424,6587273.0,OUT,0.0,0xf3bbce17c1dcbc40f80d005a380c09d9fd22da1a5c08b94267c21ee65a2ada0c,internal,call,0.0425 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539473524,6512223.0,OUT,0.0,0x505a21295625220a0efd8b3e0feb2cb39d51a6ecf390ff980d7e2925f19c50d1,internal,call,0.085 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539647118,6524568.0,OUT,0.0,0xf6595959ded4265ac31c0e3cdd0d1a727bbba62cc3b9018d9939981ad4830c6a,internal,call,0.085 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
