address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540986699,6619440.0,OUT,0.0,0x9dfebf8bc13d6bf57bbd6b763af08609c8fda0d261f4d44d63cd7f5ade5b9f9a,internal,call,0.006245627118644 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539945603,6545690.0,OUT,0.0,0xa2b279ea62cba30edae8dc3a809c511c28673616be002bedd017250ca3e50bcc,internal,call,0.00233613559322 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539946125,6545733.0,OUT,0.0,0xc26d5e491cebcb6763dcfcec7d721a92f48fadf5c40679196a24325127addaf8,internal,call,0.000017491525423 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540719921,6600569.0,OUT,0.0,0xc99f43bc99c31a28c649e0c65db3ca63aa767787e4694545b060eb748d4a6e11,internal,call,0.007002847457627 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540564062,6589499.0,OUT,0.0,0x69c5a750725197f561e7a182535209c6b1e8bab40c93e297c3cc088f6b2fc947,internal,call,0.007193016949152 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540218484,6564979.0,OUT,0.0,0x0e0bd3608872358a104d595d5708d524ffec7f2232903d4ac7331a1ff9b07720,internal,call,0.002705016949152 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540475111,6583258.0,OUT,0.0,0x4c45d993af15af87725207f9ba44c161be181b94f3ff517b7ff7de5bcecda8d0,internal,call,0.006857627118644 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540227543,6562632.0,OUT,0.0,0x048eba273af3f762d712f50db277e2a62496d1dedd1f21eace8215321378929c,internal,call,0.004939796610169 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540911109,6614021.0,OUT,0.0,0xb04ec461ccc716773284cd91bef39266be8f1e4b58e0c3ef992e9787b47579bf,internal,call,0.007783118644067 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540391381,6577308.0,OUT,0.0,0xada8d39e8ff1ce23bcf9d7da984dd9879598238f5772c57ec585dd185539d23c,internal,call,0.014209694915254 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540124042,6558346.0,OUT,0.0,0xaa7507c9e8cbe0f8f4de4056a6610afb76074bf7240d79bf27a6fe3af1683793,internal,call,0.00169220338983 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540814630,6607268.0,OUT,0.0,0xe1efe9dd2a37a207f8cb08f978b6b136ad564755f8049ad39ad7f08eb57f0049,internal,call,0.007720881355932 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,2
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540044887,6552752.0,OUT,0.0,0x50fa7996ab120f416ff07409579af915379f707f8786c90be88e904f74c00401,internal,call,0.004758644067796 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540634208,6594493.0,OUT,0.0,0x9a1c3fabd843a36f6bada008567d214b158bc2fc474e097825d0368f06d4d5d3,internal,call,0.005755796610169 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540088357,6555850.0,OUT,0.0,0x8ee80eebe901cd1b445fd5ed859fdcc26fdd9204cbee8a5d61f3ed256aac816f,internal,call,0.00210033898305 Ether,1,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,1
