address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1525078704,5533146.0,OUT,0.0,0xe1212623e69e35b67b536dd0d67625f7afa0f622ae2b473eefd2cf3e7276b02b,internal,call,0.050115337719339 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523647445,5436816.0,OUT,0.0,0xa7437f72228dd9629cc55bd4aa855bd324f756d381fe76d892f3d2d37426b4a6,internal,call,0.007499599474944 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1524663884,5505466.0,OUT,0.0,0xd1ba9df7141b6ed9fe230fb34867c6b9aa4671f46a43350b28ef4d9cc36ddab7,internal,call,0.002269545429249 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1524498087,5494402.0,OUT,0.0,0xf14cada48c5e3e1bc1d1eaf7057fe63ffe31c6f50f466425ff52b3fbcb435b1a,internal,call,0.001728341361717 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1524309542,5481636.0,OUT,0.0,0x35c55446f761014b739be3ada91e86884369cfa6bbe599dba3e8d1ab5669c6f6,internal,call,0.001740482663164 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523985169,5459900.0,OUT,0.0,0xbf4cc4a2aa15ec92347a4b45b60a7dd6c6015c9d68deaaea65b25a4385bbd493,internal,call,0.002233105621295 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523948334,5457366.0,OUT,0.0,0x31a511890bb4e99607a10686558a4cbc9a1d5871721ae61a4b9257558923cc39,internal,call,0.002005559392633 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523342057,5415813.0,OUT,0.0,0xd1b67507f01622ab2552fdb3e705f24ed9bed39534ded4ea0f7378fc5d3c91e2,internal,call,0.002543974000522 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523286005,5411858.0,OUT,0.0,0xb154273c38bc6fec57a313301abbd434af5c977b35d77f260f68302aa541c0c3,internal,call,0.003098090317831 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523597907,5433417.0,OUT,0.0,0xb77a32ba77df935b436e70e1900fc38465bf13dec0efa2b2f32125033e40937c,internal,call,0.002582257622681 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523517383,5427949.0,OUT,0.0,0x8c431af6d9c2157352ae8c4629928aaaf844b313904e4d5af5d0993198955f49,internal,call,0.002918276006515 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523129930,5401000.0,OUT,0.0,0x8d55aba71e8d6e8af5e78b5fe64fec5af0f22b3b28c03cdaa56a6ae048b3e38c,internal,call,0.021852041264634 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1524338290,5483595.0,OUT,0.0,0x06ed2829416aac3dc6893f68d9aa799638c917e9c1cd498e9bc4ec0b1a98785a,internal,call,0.004709933221002 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523367028,5417522.0,OUT,0.0,0x57a3faa4914edd5010693601712ed6f8779ee6be3d565392bec3c394305f7656,internal,call,0.003131533961145 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523184545,5404814.0,OUT,0.0,0xa68d896ac2ec742d56d1e37696dfc3b80f3ab31167084686094359a791b854f4,internal,call,0.004243380630093 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523039948,5394670.0,OUT,0.0,0x1cae6f2e41ea25ca8000aaeaea65ec19dad1a4b3843f50b7024419c2db9aa821,internal,call,0.011299233803576 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
0xe1c9a03cf690256ff7738cbd508c88cf5238a535,1523858860,5451295.0,OUT,0.0,0xbeca84e20f7775474459a948625e4d8a9a2e5cf15072eaffca338af2604f7fb2,internal,call,0.0014057202409 Ether,1,0xc84c18a88789dba5b0ca9c13973435bbce7e961d,2
