address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539161158,6489941.0,OUT,0.0,0xa057a3df21e6a73bfc16a9ac5ef8d87b13d7f4689d0b2cd1616435e0549f5eb4,internal,call,0.033677559322033 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539894651,0.0,OUT,0.0,0x3022b7b6f77412e15747e591b82efa286bc1e6a00a7347a559653f030e23dce2,internal,call,0.023833220338983 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539496435,6513887.0,OUT,0.0,0xa10b75fc69316415c8ce1b4d5838a76b6fbc3a916e760e14a3cb537a059263d6,internal,call,0.034076881355932 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539595852,6520922.0,OUT,0.0,0xf0fe96bd6f9dc636fb42b4297a12d0ae00d2acd4a1fb1c78d09c0bcc161183e3,internal,call,0.029570847457627 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538882997,6470053.0,OUT,0.0,0x842fccea66ff0dd60a6454820e56dc0e691874ac3e68c298a0859cf5c8076bf9,internal,call,0.026195525423728 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539383454,0.0,OUT,0.0,0x18e61cfb9c3781e2ecb1921fc4b851527d466eedb201c27280906bf6e318e4c0,internal,call,0.042904 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540262116,6568129.0,OUT,0.0,0x49f69093cc3199daa5bf28942f7cf0e294ec0046f2e822bdd4eedd464a8a8df5,internal,call,0.011155796610169 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540078329,6555116.0,OUT,0.0,0xed592d8f672bf90d6faaea234f13a5579e1f70fc9f5ea5e47786e0e90c7c68fc,internal,call,0.054677694915254 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538615643,6450953.0,OUT,0.0,0x1fc205329271d3d94d3962999cc0fa938fcb617f9fd957dceac3a425064d186c,internal,call,0.026187118644067 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539048316,0.0,OUT,0.0,0xd67573cda524eacab47fae6342527625c842bfd7e8ac607f3ed7de8687082bd9,internal,call,0.049919457627118 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539814439,0.0,OUT,0.0,0xa00ba00e7dfbfaaff6f6d2b255e5fff06d0b358bfabe2e20ea6296ad1a9a30b4,internal,call,0.037696 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539688377,6527470.0,OUT,0.0,0xfcecd2dacbb790dd6957f1c48fa1a0023be1bdb7792c239797b51b6ab2f433b3,internal,call,0.027523796610169 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538291682,0.0,OUT,0.0,0xbcdf163bcdd536118cfe2df3d6293d4bb6c112d3a220cf094b72171abb6304ca,internal,call,0.025741559322033 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540268335,6565475.0,OUT,0.0,0x6d3b8eb0bddfea9986246db533e97788ec3f793c02061a820af8a83e74870541,internal,call,0.043542915254237 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537836514,6395919.0,OUT,0.0,0x817a499996e18069400dd8a5433116a54bf0a7cc430e48e1c5f79764420dbeaa,internal,call,0.026741966101694 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538719181,6458367.0,OUT,0.0,0x88cea533fc0a3ea8cdae0458a7e8cd37cf28a7946a5eb61c1239d2a2f6b2c864,internal,call,0.031163932203389 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538795702,6463821.0,OUT,0.0,0xa89d3ef64aa3acb55082917416c5fdda963230673c3a2497ca2872b21f688afa,internal,call,0.022925288135593 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537923062,0.0,OUT,0.0,0xd2813d68a2cd9dcfc732b953f5547ee24be392f831c011e9d0cfef55d4c5f800,internal,call,0.025783593220338 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538204566,6421895.0,OUT,0.0,0x710e577044db1d4bc690dd57155a6d74fceefdece028f7f688654e7907d7b1e4,internal,call,0.032004610169491 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538096893,6414281.0,OUT,0.0,0xfd34cae192954a66a6cec1c759319ccdff5b8ee488c5fe0db54ad3be58eedc71,internal,call,0.025598644067796 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538360721,6432902.0,OUT,0.0,0x4c5c3281a517d949fef7ea06955b7a4ba5dd3a4492691e4c2909f59bafa4ee55,internal,call,0.020525152542372 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538443573,6438734.0,OUT,0.0,0x51b87020be4dc8d71048818f179495d0a93669710183fba7456145428ad8149b,internal,call,0.024514169491525 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539240000,6495573.0,OUT,0.0,0x94fb0e4b6f4521b01368e4959365291f820d74f9a30ac72375c0958d4bc276a9,internal,call,0.023673491525423 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538527395,6444723.0,OUT,0.0,0xd26090d5ea51ec410ac78d3d1b2c1dc53b1f35cc7d521fb8ff87c5c226fa4a8f,internal,call,0.025174101694915 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538010386,6408191.0,OUT,0.0,0x1a0d53eedcb4654148dc71f60bbbbd810a9aff0487c074a94f34533612643ff6,internal,call,0.025800406779661 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
