address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539245583,6495968.0,OUT,0.0,0x7a5ebcea5348c468768e73630de1614aa0442142457340ee2dc8f3298da224ac,internal,call,0.116363118644067 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539591321,0.0,OUT,0.0,0x8fc141cc6e458bd3989c84db33a42aaba4a808fef37ca9fe8769e706f8181999,internal,call,0.180359322033898 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540030147,6551678.0,OUT,0.0,0x6a07af149845a6309891ccb56272f839f08b227c4e81dbbba411aeaff6513e7d,internal,call,0.115239322033898 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540111532,6557434.0,OUT,0.0,0x5b33c7b15ed6d9238d370416fd5075639266305f0d7a5d64344602e96157b002,internal,call,0.057755118644067 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538907840,6471867.0,OUT,0.0,0xdd9b87cdb37a3f6127042ca72137e782b0afab631b6c1c4c287ecc2584ba2fce,internal,call,0.064849084745762 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538733131,6459327.0,OUT,0.0,0x55dd1ce4f584201f8986752068af7f367812854083c1859b4caf75619c38a265,internal,call,0.063474440677966 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538554365,6446616.0,OUT,0.0,0x8590010c68fdf42760a9aab47771cacdc72bd79f482ba7cbde4644039c89aa69,internal,call,0.029998101694915 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539083439,0.0,OUT,0.0,0x0c79c16497d3e080b38e65c8cec40a847d96bd84a978ed582919b018b853f786,internal,call,0.125463864406779 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538818045,6465404.0,OUT,0.0,0xd3797751b991f6440422d1f0a7457d69ac9cf0b4f2d08645168a861db2ec6398,internal,call,0.060976 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539867387,6540193.0,OUT,0.0,0x20af85513bae28342cbbddbde4ba5b8efc0d341b79df5d5705f47aba1f20594d,internal,call,0.196654372881355 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538644468,6453001.0,OUT,0.0,0x5b057dad0fb6a752b97aabb3b197c8fa91f81e9a4fd6d03e16440d7dda436c11,internal,call,0.061979389830508 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539338928,6502619.0,OUT,0.0,0x26e047ffb34da848d1bb3c1fe7e4740a1605c8dea7c7b20f89d21e098a81b085,internal,call,0.000090305084745 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539338828,6502610.0,OUT,0.0,0x1d5d9805d54c27500a5b1d23838c49e1292c216039b056c9b1579b4203e9b34f,internal,call,0.066645152542372 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538557656,6446824.0,OUT,0.0,0x43db331f6ee48f6407ab675cadf35239bddbb1d416ff820ad4e3229c4b7a4ddf,internal,call,0.001001220338983 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
