address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537913046,6401322.0,OUT,0.0,0x8d1391732065d1016d4b920944a35ca72ef33bda6a735b5173c9f317600f6bd1,internal,call,0.065972222222222 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537923197,6402063.0,OUT,0.0,0x58e11005be860bbfe1261d47f97c817145d0b069105a92a51e5f0f761ec97793,internal,call,0.117361111111111 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537887425,6399496.0,OUT,0.0,0x6f8b04a7ef98c2b3f8b1df9eb183431d663b49b324c7cc241f6078367ad96591,internal,call,0.090972222222222 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537879515,6398955.0,OUT,0.0,0x524de5aa6e288f8615cda7986b0aeafe786624a8e7ef81cce0ee1ffd654c137d,internal,call,0.066666666666666 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537937226,6399995.0,OUT,0.0,0x1e7e89ff7016997dadec7b601455d88a9a6d9baaf715cb2afc5869bcac240951,internal,call,0.077083333333333 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537873766,6398564.0,OUT,0.0,0xfd90c24bb94dfa63c07cc80f2cf1032103a4868c2eb0003cb3a0fd160aa5d87e,internal,call,0.057638888888888 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537907389,6400921.0,OUT,0.0,0x2dc53832c0a3c8a7ed05d2fce0bf26b494c5d322a73e03ee80a67987f02102cb,internal,call,0.154166666666666 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537868815,6398207.0,OUT,0.0,0xa94e855c1c35bdae0531dc321f7fe6a07b637917f886af4280f99330b8200dd4,internal,call,0.08125 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537927541,6402361.0,OUT,0.0,0x493092bfffd222b3f273e5e033414106e21601401dd215e178f5921d831b8da6,internal,call,0.022222222222222 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537925596,6402220.0,OUT,0.0,0x0a70f71f9e90ad0dff39e471e354025673a0a1433e760cdb03e9678859e07989,internal,call,0.027777777777777 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537929932,0.0,OUT,0.0,0xa669d73017f86a1bf16df7e766ca302820640032daec4dd05c68842793245d71,internal,call,0.004861111111111 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537929545,0.0,OUT,0.0,0x9fab8ce5da0fea84e17e2df3874cdc6c9500cd5d772238dedf5f839d012f891c,internal,call,0.022916666666666 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537861753,6397712.0,OUT,0.0,0x664bf0ff824b94b157d1e292b96122f07c6843b28950271cf28a13cb4671af03,internal,call,0.059027777777777 Ether,1,0x96bb98183e5562913e72613c1979d0a13f8ec76b,2
