address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523551635,5427322.0,OUT,0.0,0xd55fca20f4750dc56b41affa65997e4de965bf85dd00a26f0fef93b4eb6c8ddf,internal,call,0.000559826677834 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523549251,5427163.0,OUT,0.0,0xdd2dfea1cca787f8950d78105c5bed5277df54aa040e210bea98eec7ca6d1696,internal,call,0.00116332052733 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523490945,5426131.0,OUT,0.0,0x96264e20bbf5d59f531b0cae1f7b9d1d7e3a8d8c4bcd05756470d3c37a24e83e,internal,call,0.004523400766863 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523110345,5399595.0,OUT,0.0,0x41ab5e29bc7bcf9d25f5365b70697c0228e08a344bfc36fb36ffaed872642aed,internal,call,0.614640098676024 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523591903,5433017.0,OUT,0.0,0x6778d7600f28197cf1adeae74febf368ee38438f4c573a6c9c4991d1f7593487,internal,call,0.010451941642736 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523796447,5447053.0,OUT,0.0,0xb6d64be03c1275078f688d4504e0262954bde1b8a6c5d731808e45a3354a30e6,internal,call,0.001177877357345 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523768779,5445120.0,OUT,0.0,0xddb1835796ce61f3cefa1b1cc768bb0413874be89de0a4602272262d95114d05,internal,call,0.00911664577239 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523095729,5398618.0,OUT,0.0,0x31fc1186b13e2e5c01998a98dae2f921e4056ec7b75de0d8c887d951691e4925,internal,call,0.027822369957576 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523904135,5454411.0,OUT,0.0,0x9a347195cbf9b5e84fdc6f698959f0e2b06a3bcec696a93d54ee7cdf178cc2e3,internal,call,0.113787656687755 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523896317,5450924.0,OUT,0.0,0x368f5055da6587be58d0abe34ea339532d76a40ebd917d2438854f1fbfab0d4b,internal,call,0.000802273250448 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523613470,5434471.0,OUT,0.0,0x254eb8ba519bb7e52dea79b4fe1882546382110a3a72531032da6e6ca566e8ae,internal,call,0.000599801363083 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523526416,5428564.0,OUT,0.0,0x2ba3186daf27af6394887cdb73fb69496e6ae4ee8a7b9e3e6491bd639c9a953a,internal,call,0.000579391168654 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
0x702392282255f8c0993dbbbb148d80d2ef6795b1,1523678382,5438944.0,OUT,0.0,0xd697c7e12425ac26a85df7bba24c528b18314b2c43ce0136a8f01219bcdaf50a,internal,call,0.006006508845793 Ether,1,0xfea0904acc8df0f3288b6583f60b86c36ea52acd,2
