address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539522656,6515760.0,OUT,0.0,0x010fd01d91f89e32adf93d4bff0cda7899d7c8d631713f65cfa6a58a7f8cbe2b,internal,call,0.034427713268578 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539609169,6521871.0,OUT,0.0,0x56aadafb29ab8edbf6d10ebd71582c197bff9c2b2bb8be96f6a4df323604bc6a,internal,call,0.034427713268578 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539955828,6546446.0,OUT,0.0,0x04f09d38f17b1cde111362771882a15ad19ac377c70eeeb6307af55462f4a99a,internal,call,0.034427713268578 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538370016,6433541.0,OUT,0.0,0x13619004ebb525637ff9ab2c4ae3c7d2815399fd5bc24c492664c2e0757454fe,internal,call,0.034427713268578 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540478206,6583469.0,OUT,0.0,0x64d572689a958fc9996f7ce252e7aac47bee4b7809d2e8def76bb85dcb78c641,internal,call,0.034427713268578 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538912944,6472235.0,OUT,0.0,0x625c4a69aaf15928d8dc4da77fb2093f8a9142ada10502c9769cbe842f8356a2,internal,call,0.036452872872612 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539176166,6491037.0,OUT,0.0,0x89f01a7580e38527da5876445e567664a42c764cf562614724eb75439dd74b7b,internal,call,0.034427713268578 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539782237,6534148.0,OUT,0.0,0xc9b2d88c85d6563b3684593be371071ac06d4f028e3ea85468c9e134240ed494,internal,call,0.034427713268578 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539868914,6540295.0,OUT,0.0,0x1160db5acebd9a6a151c79dc24f6127811c5e59c437b9fb9b46881f07c54af4e,internal,call,0.034427713268578 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538727426,6458930.0,OUT,0.0,0x80a22b49edd5d6d264c67b661ea76aacc047f735eb92b2798b5a52c7584d9db9,internal,call,0.034427713268578 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540215834,6564822.0,OUT,0.0,0xf1ccea3f1e9e7e800e3c58e6e5becac19015733ed7c73ec54bba16ddcb64e0d6,internal,call,0.034427713268578 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540391545,6577317.0,OUT,0.0,0x13abe53664d70ade27457136c217f13753c9b7ba743014c5b39cb508c887c402,internal,call,0.034427713268578 Ether,1,0xdacca760db181e54d96b9a061acc0d2d48a05593,2
