address,age,block,direction,txFee,txhash,txn_type,type,value,Class,creator,inter_direction
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539580813,6519847.0,OUT,0.0,0x0487d2006aa5f3bc528bf9199080db92a4d519a404d03342977eea683fa51fe3,internal,call,0.121561118644067 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540091824,6556077.0,OUT,0.0,0x52064e46cd65601e8be41d3fbf9877470adf6ee7d05ce56d23e70a349d553341,internal,call,0.787444372881355 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539073578,6483701.0,OUT,0.0,0x3855dca8517ceec4da4a5a02395e63bb2e635d6b53cd9b275d267771800f5659,internal,call,1.702825932203389 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539767205,6533059.0,OUT,0.0,0xcc1419deae7a3e3e88aa6bc25b744a4fcac9b3cb861edec8463d9e063daad010,internal,call,1.181928915254237 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540262809,0.0,OUT,0.0,0xc48b6d194f416f9984855465e7b5a1dcbbb57e519ee23da98004cc9639600deb,internal,call,0.739623864406779 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,2
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539567749,6518970.0,OUT,0.0,0xb2985cf7654ede1761a8596c3b70e4b49dac7eaf1f0ed9f4bbb80997ac971f57,internal,call,0.847185355932203 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538659230,6454100.0,OUT,0.0,0x56e906fc069eecc7e5807813886ec34e630e3256463f2e2881b43e301633e1dc,internal,call,0.250745796610169 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540187713,6562844.0,OUT,0.0,0x42801dede39c9acb9187d78803dfcaf1240321798a75c0c97912fc82c9e63128,internal,call,0.937975016949152 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539482549,6512858.0,OUT,0.0,0x6110935298e6912226ca3804ca42c288a6aec77c3f9fa9650987014b527630e8,internal,call,1.803595525423728 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540012013,6550396.0,OUT,0.0,0x236e8b2926d8da675b0408b1eb96e8d6f0466af46f13cb26c667a85e5a50315f,internal,call,1.465248101694915 Ether,1,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,1
