Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540261768,6568099.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xeab89d046f32532356b5f19918e0ed16411f42bc360fd7af11867b3f45b59985,internal,call,0.433010169491525 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540126852,6558555.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xf77a283cdf5eb9b055ce7f6de0ee7e4feb8fbcaef5f536424d4f75ec82e21fbf,internal,call,3.080515254237288 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539793163,6531827.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0xab7e2114229fd84eebf7f6759cf0f5f9a1ad6ef32104fcd37e52780bd11f2153,internal,call,6.227647457627118 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538290480,0.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xdba8772afc56c6ace192e9d990738ed279d7b8331c6a043f98437ff0452fbdaf,internal,call,0.002401355932203 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538290111,6427910.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x9fb77453c8a37d532b60102bd0cea1b2fc55ca662747336f56a1541591f6b9e0,internal,call,1.759830508474576 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537859156,6397503.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x5260849bfbf0ad7c6a0b69778bfc78786662c07af358a961cac72052f79bb175,internal,call,0.081705762711864 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538990725,6477793.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xf714460c980154e417993ec4ef94a7be27b3850003fdfbbd2f585d14cfacaa7f,internal,call,5.74657627118644 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538045051,6410605.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x593a8082d8859a201b62ca20e4f7830f93d18e2122bbe568b43c84342816066e,internal,call,0.053328813559322 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538035271,6409921.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xcf4b883da9aec99378f42aaebb7da0ccdce04b438fe0e9949a3303e066a861a5,internal,call,0.353491525423728 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537960871,6404707.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xce916795f4193dd91ae4cbeb966fcc2705c94513350e8714cc8b9495943593d1,internal,call,0.244203389830508 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540209285,0.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0xa566ec91bfbe163adf42d18a0a1f7e459a139c4f53fca71181a9346d44371dc9,internal,call,0.66697627118644 Ether
