Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1538930826,6470396.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x05be00f5594d8d5746570b150fab998f23a4dac9b320566989a9d7e3c6a74b85,internal,call,0.045 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539859297,6539638.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x3976818c19df0a1ae85bd19d0cff1c98525e01db5e46157b9fa726eb688755c7,internal,call,0.0425 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540512546,6585897.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0xc9afb618b95f3d6eba57b699a19f3560b8ed2aec45d62da5b2eb07e52d435c91,internal,call,0.0425 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539758256,6532430.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x0556dafde592ca85fd29c8e166ea1a911bdacf1f6366e067d6cd2fd83cde34b4,internal,call,0.0425 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540211153,6564493.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x76ceb07eca824966c8890b3972ac7f0ad156e32088830b918b312b383e37bce6,internal,call,0.0425 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539409909,6507689.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x6ea522ba7a551bef605bfa3a3fce40e927383492aba0fd9179e92e815340fa15,internal,call,0.085 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540119804,6558031.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x03f1ef17b4307fe090a11591f8ecdab98e9627595edf4234a11275f78794e123,internal,call,0.1275 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539671525,6526288.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x642e3adafc73c91bdbbc8b6370cce26538ccfa2faccb8bb638ab3df00e0426f1,internal,call,0.1275 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539017942,6476681.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0xca28e04ba90d67eafe9668990c0fb723873d81d2f7b96d338c03b34b975f3a70,internal,call,0.045 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539236685,6495330.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x27ea64d12e06d504ef53702f7536007bc4daabd4fb6ee5754b1cb49a6a50d0a3,internal,call,0.0425 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540297781,6570657.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x5a987ea5ae2da94ffb8037b033bb6cb219f8527b1c57be168aaa0cb012d4e650,internal,call,0.0425 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1539190537,6489017.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0xc1d45de851abc5f6e6a75a5dfca68c637a7443e81f28d89d8ba5440091e6c0c7,internal,call,0.0425 Ether
1,0x9b5bbb16a7a68660f6503eff6c8e3159820d6396,1540386181,6576926.0,0xdacca760db181e54d96b9a061acc0d2d48a05593,OUT,2,0.0,0x6dfaf1625dd791494dcd00a39c6060a0e73c9e5b4afd94761d80b488c322787b,internal,call,0.0425 Ether
