Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537954424,6404271.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,1,0.0,0x7d71e5f7af4b6d0a1162b9e2f01bfef937db5070eb895032363c4ac92554f5ec,internal,call,0.118215625 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537870145,0.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,2,0.0,0xf03627a6101d9bec3c04fee03a13d9f16139d0cf62e796110356ce6ba548719e,internal,call,0.120704375 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537864287,0.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,1,0.0,0x1975826b593a9a6fe2f3762965f4b24f75996ee3d5f1805aeb108a2cca107cf1,internal,call,0.300895833333333 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537967324,6405152.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,1,0.0,0x4e9127f0fa96f66bc1671cf138ed7e3bc9d48141d7b52e0eaf0f219b0ee03ff6,internal,call,0.130659375 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537995125,0.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,1,0.0,0x25399ba8ca75461a0108636abdea200098508cdc11b15892ae25ed619701fd4b,internal,call,0.576145625 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537948739,0.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,2,0.0,0xfb872cd301e0035fe091f4e8d397affd61a230f54fb8f8a12de7684aeb3eb768,internal,call,0.47037375 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537833952,6395724.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,2,0.0,0xc1a08fd529261ab7f048aec964e87c8c43884ad93a31a94d087f6d813cdcbb3e,internal,call,0.0017875 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537833782,6395712.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,1,0.0,0xaa476a66273bf584efcfa947536e32521eca8e65fd1307efdff33a4dad81df67,internal,call,0.513608333333333 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537961013,6404720.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,1,0.0,0x0b345d52f219a1473b29495770b7f2aeffbf951a7a5838eda28e32a382d0d2a3,internal,call,0.13688125 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537880894,6399058.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,1,0.0,0x91f9e000a094e0c72e806619eb732c39a43f22fde21c8ad1c2b252f25d417bad,internal,call,0.222743125 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537926047,6402252.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,1,0.0,0x3e84a451295db26a40eac311d1c7296a5005449479705dea65f067dea5e1a37f,internal,call,0.145591875 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537782034,0.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,2,0.0,0xd324a31217ada71d24dd4c13acaadd850265558d548454a1ade2555d193e3cb5,internal,call,0.00103125 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1538000195,0.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,2,0.0,0xf105dc7c27a6b7992ca013b9a134c1ab4930bd49386662d5a644723f0edf2e43,internal,call,0.105771875 Ether
1,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,1537919064,6401759.0,0xaf9c025ce6322a23ac00301c714f4f42895c9818,OUT,2,0.0,0xda607aa892d5c2286b5eadabc546a6a8f4b00a60d3f7d82e56d675c08fe7fd76,internal,call,0.7914225 Ether
