Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1542039440,6690627.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0x83ce7d95f7f874a2f0c04fea5cf2f311fb60f37f1f078e83fbafbdc00e66033b,internal,call,0.00173 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1542865805,6751991.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0x43403a7dc41adba788608485c541b0f5e5173756b4ad0313637450fb02bb62d0,internal,call,0.0018 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1542249048,6708504.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0xbb5d5cdcc769e23cb1789f98a777320a82736e339c229e99c5147cfa900eedf6,internal,call,0.0017725 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1542163936,6702484.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0xae2def37a588c2a9e9ff932e1876eace73ddc489c5effc89f8e56ac7beba7efa,internal,call,0.00179 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1542077970,6696474.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0x83f95daf6c113529d4550b9b58e288855d92a5c91ab7c8875ead33f83151c8d9,internal,call,0.0017025 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1541744069,6672799.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0x3d8c1b15d9705a6ea828b2bbf0fc051a1b361596757da8e614cc955b9169d5fd,internal,call,0.0017575 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1542338984,6714931.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0x26a34cdc4658898593af50a61d86dbc3438ab6d91380b78a0d2bdea832c08dae,internal,call,0.0018 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1542644052,0.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0x132ccc2a5eed33fa6cbdd1f8dfe819e345c7fe6674464bac55a34fc74ddb472a,internal,call,0.0018 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1541913173,6684778.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0x1aa7093ce501b76131a55c3641cdca7eea1320bca96c90ade7b6cfc45f950663,internal,call,0.001795 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1541826955,6678627.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0xcd18d797768e4a1b2aad23321fe454426785075462ec7e59bfc373eab4241682,internal,call,0.00172625 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1542817693,6745576.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0x5df907f2a4f123fc264c20db16a4b5c6dc38924551b51c29014f328597bb1227,internal,call,0.0018 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1542730916,6739474.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0xcc322d3bfc5338f3da304326ff27169c318fdf907d2c13cbf0b7ef5cd9b28760,internal,call,0.0018 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1542512301,6727163.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0xe6c7047a244cd68a5623f3c8b8124d05900565c480826a137ef5cbbcf8d642c8,internal,call,0.00179625 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1542426042,6721060.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0xaa89d9e1167aab2583b17f8446293ce5f15da5017e3df4c9b1439c2c2d525ee6,internal,call,0.0018 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1541659700,6666856.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0xfaa118113aa9beadf7c65c00d665ae04289d03f578f7409400ef2d560ac5ee7d,internal,call,0.00176 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1541575193,6660861.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0xefc0f7153ed11e0e270c330eb8b809d7d00900d51e6b3330f24ebcdbc3189559,internal,call,0.0018 Ether
1,0x8b7c1450d435f2932e6a7225593d14a4dcf0372d,1541486460,6654594.0,0x0ce29bc18243a936edb97e1b5c852b6c6f85e2ed,OUT,2,0.0,0x3b43e41e8a7fb3ccf95969048440377c89917b2d51f8a1a3376c4e54bb9287ce,internal,call,0.00116625 Ether
