Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540005348,6549917.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x4e1a869c9fa8342a6c43fe4a185e4c4915b59d113edad564a0a3709e30d30a20,internal,call,0.07 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540002827,6549736.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x08111da0a675791c06e396c22da8661e4c1c026adf5dee2094ba205e845cf121,internal,call,0.007 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539990422,6548850.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x5c14196c01ac0aff1383a34fd6ea28c5470bfc1e85d9565f14b65da71737ec91,internal,call,0.019852 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539981271,6548239.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0xd15dc4aef79945c107842c5284d7d05e8f929f66ade1280b524e072243533a10,internal,call,0.007 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539070180,6483482.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x62e5d33375c695e634832d3ee4bff5cf2ec3a3b4fc139b95efe902a88c707c9b,internal,call,0.024 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539068795,6483393.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0xbbddcf402e0e91afa22ef71b420bd70fc0d053f20ba50eb26dde1503a6faf853,internal,call,0.024 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539976609,6547901.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x595d52d72c50b96309a22b31ee9857dd8426751ffbae31d0e8ac6aaa5f5deb76,internal,call,0.0312 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539944468,6545604.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x1f1f3dddf3096b25b8872df02af020011703305f02433b3e35153b122fa20288,internal,call,0.196 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539556948,6518191.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x40486c33a4a6b6147ab932d8a9da7885672b10a2ab8f10cd12e2251087a8ae5d,internal,call,0.21 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539554036,6517986.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x5298575acd4133f2266fb43fe797f1c4e9923e0f379fe6441d680f5fb8d6fe33,internal,call,0.014 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539552293,6517878.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x3ef860e37a3f9e88755adcf93f114a0427562daa3440fa4bbae7302208a03ede,internal,call,0.035 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539552098,6517860.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x762e2e66930f78e99a6902b09f96347382280aa001dbbf2e9ec78d679c6f41ed,internal,call,0.035 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539540716,6517045.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x3d7d3c2dc94f4ff8219221c1b9f04df5b1ed607433433b4970a906aa47fa2815,internal,call,0.03 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539536880,6516781.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x68b8c2da2aa8641667b2712eecf2bf438c5b3c87a82d5e91ad4a5ce390dee66b,internal,call,0.0168 Ether
