Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541394438,6648161.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xc0773a915add74096338169946fe086595fba70d1d2f69503607f732b984119f,internal,call,0.123073701639344 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539972617,6547614.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x716d24fa318619ab6a89011bf2147e4e8de95e321d3d857fec37a6631db516ff,internal,call,0.029544590163934 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540991567,6619788.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x256297e590c835f7fe980c6e62a6a9f9388527c99c038c374ff7368bc0285bf3,internal,call,0.027240786885245 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540558980,6589148.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xea0a12d9f36a08fed4e763ec44cc2beeab01d6a20119e2615e9005ebb63579f0,internal,call,0.026831114754098 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540144108,6559763.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xeb3a1a927434943e76e13986059f80976a08488e342ab283ecfce27d1edd5d17,internal,call,0.029573508196721 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540912693,6614136.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x441e35f09a478266ebf1c94a0ee6f7a4dd633247ba29010e9e8ba450c40ab74c,internal,call,0.029424098360655 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540736743,6601767.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x3b76d8ad7c50c0897f64ef9ac4d778ca1102cff0eac1854bd5af20be156d7c1a,internal,call,0.03045068852459 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540057218,6553627.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x2a76eef1d1cbd0aa198000065939fa9bddc6daef1e290b56f45120a4b96dae3d,internal,call,0.02898068852459 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540647733,6595449.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x9bfa9085e0103e5e5123878c746aeec4e91d0e5f45dd39dada2e0ae910304d0d,internal,call,0.03036875409836 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540388290,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x24f25f7aba0bd27ee5c1e714dcd607eac90b702d7d10c95ad4534895cadd9086,internal,call,0.047507508196721 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539826920,6537321.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x9aab422b526218bc12cb32d9c3e59c31a3ecfb9789cf4437ecf82152a43c2e7a,internal,call,0.068208 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541771726,6674755.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x1edb8bfa0144e9590c2d08f4e495de58e2941e5f932b6c155fd32386df0d9705,internal,call,0.024548196721311 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541685002,6668643.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x394e8b32a0830185ecbb1592d1bb045edde66503b13e61a6163652ab5f6b1a8d,internal,call,0.024094344262295 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540825457,6608031.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x709700ff02d05633fc923182844d92769f68d53577a910d26972a75d32ab76ae,internal,call,0.030190426229508 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540249451,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x92cabc0c3732e3aeff0b8ef80a870376624faa3d790e8113c6a0d8bbd759996e,internal,call,0.03599813114754 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539885804,6541484.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x8a056cf859444958c04226c65d21a82c8e8e022bbf630ffc7f79d9018b2759a2,internal,call,0.020064295081967 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541910465,6681512.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x51c3c329eadf5a15219b3c7afa0c7d86b9ae8b8a982a35b662723e767086e60e,internal,call,0.027138770491803 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540480042,6583581.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0xb1e643d6974377e95c29d34fc6888fa5177522736059b3d8b791572be6f7e337,internal,call,0.031289311475409 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541599944,6662644.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xeac14599cf49a531285e1d59d612d8dfddfac396912016ef7cb608e83b247983,internal,call,0.058169426229508 Ether
