Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539071935,6483587.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xcd8e97a3519c3d8352b5cc5ac87818694ba1205046023f725e365904757c8a98,internal,call,0.005 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539165114,6490238.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x78fcc4bfc3dee4145e548d6c20457028939393e317bd061515a43aaf05b306fc,internal,call,0.091209836065573 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541397093,6648342.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x8b461a4d99a445fa16e75372395056b0cc74657149fe906618010acd05478219,internal,call,0.267733770491803 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539571459,6519231.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x87d077dff4ee6a5291a854efa7a5a0be28267e5d4e7e611c45dc44af18de1365,internal,call,0.168098360655737 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541555193,6659420.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x615599918973a19e796979362563af72033b5a82b6773996ade2c5f8858baa0e,internal,call,0.090803278688524 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540540323,6587847.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x56efdde2d4c9cd58cb130d5f7f97e34c79bc1a844e4995dfbc11639b7c3f8fef,internal,call,0.134370491803278 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539050481,6482084.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xe0a2743800002bebf3160b997e6e93043db3a4101948106bc4f2c06d1c3cff99,internal,call,0.02 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540347770,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x02e4661eb4c0caef92570f0495d1ac0dfcbfc9ff6ac69accd5d280d5d5e92341,internal,call,0.540540983606557 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539117838,6486880.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x41e73b16ac7f48cbe870fd867933bb6599b5595f86687f0c916bbdad4e42c1b4,internal,call,0.01 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539409517,6507663.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xc9487283596aa618a344efc4dc82b10652d842cef89e812f6c6df03d7015a81b,internal,call,0.0006 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540968225,6618098.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x138af4b50e91c5e252243e63da1b429b471404b41b3f5d11e79d53710f0c3ea2,internal,call,0.297550819672131 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539075100,6483817.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xe7068b51d20858589787d7e0e6d009d0c62dc89fe02564edeace2a5fe817c69d,internal,call,0.018 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1538994381,6478078.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xc6609c5495ba4c64b26637258023a0035b87cd22bed4d50c9e5ce35a69ec2fd4,internal,call,0.01 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539656726,6525233.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x48889c28398a2cbf11b87c48253ea63b07252f20004f3ada8fb857ddac31d49f,internal,call,0.0016 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1538974970,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x474a62d00881ac9c7d59e86e5a49d4ea90647be275de709a21e00e514c94b1e1,internal,call,0.04 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539497677,6513974.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x4df5c0416881dbc7a4738cd454c26a9b0d55a5a84559dea05b4390b11c3da2e0,internal,call,0.03 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539012337,6479376.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x27d769f754bda153eceec9c62e4f404f4ff4b3ce165f5c63f567ddf6ebede749,internal,call,0.002 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539332232,6502141.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x303b384441b5ffb5aad402f3e443d4169d02a5bca40a795cc2efdafcbe39378a,internal,call,0.11707868852459 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539034460,6480965.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,1,0.0,0x7bae19cf7742fcfa6916068e1c6f04e545dcf8e017475fd12384519e655dbc4d,internal,call,0.042 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539162251,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0x065b2a8e85d04165aded13fee7be892c8442aa44e18b17d64a0c1407c0acb7a0,internal,call,0.001814 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541918929,0.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,OUT,2,0.0,0xf40d57266c29636c2aae74144943454f5a424daddbea8c83f3c167f3923a66f9,internal,call,0.211262295081967 Ether
