Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539103554,6482802.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xc5005a813824d1ba46ec6140eac82aa3e35fa5b1339339c0ca38f733124e21e9,internal,call,2.114237288135593 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539016264,6476565.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x83e99a298ecb2e14f1fe35bba783d8837e12f25441280f4812c0aa4beb0e5889,internal,call,2.102033898305084 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1539567188,6518928.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x70ccae01dffaf11e6bf3e84712c497e08e74e4e4849deb63301ba362e00020d1,internal,call,12.246101694915254 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538582434,6445571.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xe70e0cd26410954cf5084fe056791751c350c043008246418034a72ee51df36b,internal,call,1.382033898305084 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538669118,6451707.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0xaa44ac295c98ad847ea01eb39fea25b5a3814bf8fc9464868357b16424a68ad0,internal,call,2.08 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1540260167,6567987.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x4d087d9090004ad844af690718084d825413573fb43dcca7ed2a65a900dc1b8c,internal,call,16.630169491525423 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538930322,6470364.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x2bdd0aa9b6b7259d496b56d147d3057bb751e8ce4d7f0b90d073adf7448c6cc0,internal,call,1.672881355932203 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538818430,6465429.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xe203702c574326e041fbd7acf0a9e96c49959b1af008c47ac4922ad31a95ec2e,internal,call,2.264067796610169 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538481728,6441494.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xdc2ef9d42edcd2958f6992f32b26893e368dda89bb0444881ea09f07ff65de0c,internal,call,0.726779661016949 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1537933397,6402762.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x911c60afeb956500da690c615a08bf8231767a111910c1eef16ea80cf5fb15a9,internal,call,0.16 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538202205,6421734.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x54d16a68f3b5266703bfcbbf8e189e41b63b0dbd950bd74db78119734a72d1ff,internal,call,2.300338983050847 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538288960,6427838.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x7d0e4584bc5ace3db1d02c3d9880e7d2ef0249db938da276cafb854bd53a6487,internal,call,2.069152542372881 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538106087,6414948.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x518c997b57b041027920d28afd65172c96a83e7665e15253983646ab99287c52,internal,call,0.547118644067796 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538452119,6439350.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xcd810d354c1cb1e3894c52394eca3caa6bffcdd6efdecdf8aa9706a87c231792,internal,call,1.827796610169491 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538049773,0.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x3283ee8d32d0b1885c34ced57ad9e32b00411ee055bed5b3630710da11687c76,internal,call,1.10522033898305 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538376010,6433958.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,1,0.0,0x76deed387c66fa987a113c8c0fa2595e228fae27a923c5c258c6ad04cbb1cdd1,internal,call,2.07457627118644 Ether
1,0x7b307c1f0039f5d38770e15f8043b3dd26da5e8f,1538724893,6458750.0,0xe1f3294e25bb72a2fb53addb82aa1a033797e6e3,OUT,2,0.0,0xb83ea83b3013de9f855650fcb869f8ea520beee52dcc144448c1904adff75f16,internal,call,2.387457627118644 Ether
