Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532854280,6052301.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0xaa30efac46c64a92afc39dc04ed264f867dd55ceb1899b6e1b3a4fbfcb01cadb,internal,call,0.053464634598485 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532922510,6057040.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x434b597bec478469cc7f196a417603ebbb376a5c6a54aeb3971eecfb9f1c877f,internal,call,0.289240539047321 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532859286,6052671.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,2,0.0,0xc16b704eadf948732b3253d7d7f89a5e38b352f7fddb5d8f74ebc39cbf92f9d2,internal,call,0.02245075820285 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532760069,6045710.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,2,0.0,0xfe9825a8b18b80f58c54d04f7397995224604080cfa01fab1372d4a1dc572b00,internal,call,0.552509162195405 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532802966,6048745.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,2,0.0,0xb4eec16fe3f5342fdb0618b3ff98d46a888c4f25c1c82c69dcf3ea3ca461628f,internal,call,1.06740196071051 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532714569,0.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x57d677a57849b54edd5790fd17159de2f033aedf17d71645fdeab53aaa1b6360,internal,call,0.109076936692285 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532762082,6045860.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x25574e400f2dcd8cc5f5b705b4b075efbc22219f1a9376700662d9d47b5f6c9b,internal,call,0.02411314661053 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532713269,0.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x8e909d0ae9ea1209d2a8607cb6e8697bd81b2e1caad1668de385e82b81e3a2f0,internal,call,1.369274530808429 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532761546,0.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,2,0.0,0xf7fdaf522db4da79854c25cca908ba7d30a294edc5c9921cda34a1e94873d0ac,internal,call,0.38203056963006 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532732361,6043828.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,2,0.0,0xa40799b35c46b66f5c1c14707177388ec35ed37cf4b9c340868d31948bef908c,internal,call,0.177693997811732 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532720278,6043012.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x49472ede980705b89a60de2abd508bc8feb71e2d3b568dc8b2df904dc0cd7a94,internal,call,0.085800393182943 Ether
