Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539518071,6515441.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x0a8298e4841e6283dc6537b68e016f959d44fb1270a6ea007807275c195800d7,internal,call,0.000794033898305 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539002201,6478636.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xb8e184ae8a131a0cfcecfd81519edbabb9be0ee008250033a51331b67ddcad06,internal,call,0.000883389830508 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1538911334,6472121.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x70433c2c788251aa0d5ed4742b8ec8457a77eb05d6e28b0cc06d66741c47fa96,internal,call,0.000867661016949 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539696132,6528037.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x4659122cb998ceafdedc0291586fa6d49fbad2f01b73d6ab3396c36457b52f36,internal,call,0.000852610169491 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539781195,6534068.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x331564c517c881f9aea396dbfbfae151bb8d0008e488dd0bf92140b0d4fc566f,internal,call,0.000817762711864 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540897070,0.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x2d88879e7cec5fa4107a7fa2c0f942f329c95c2000d2ba3b783db9ccc625e7bd,internal,call,0.001727728813559 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1538822229,6465722.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x41fc3247801e3aef874f73cb3ee9dfffa473090395de638676959c68ba19e77c,internal,call,0.000778440677966 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540716344,6600307.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x88997981ff31d57e6e09c78daa513dbc124e8f3b01e60be5bd97f1f7efad6ddc,internal,call,0.000900745762711 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540622215,6593664.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x187a481b173a2d4d70d9e4e70739ea35438895000e02c6f907c657523d18cedd,internal,call,0.001489220338983 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540208763,6564304.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0xb2d3dc56be8d39e3c268d68495b4217f43f4bfae2c0343f9f37bc7c9f7050780,internal,call,0.004099796610169 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539435765,0.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x54d62cba91c321cf06f7d8100449067605ccd2cacbb718621f507608ed15af93,internal,call,0.001173830508474 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539607534,6521749.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x0d65f5aac2f9ca8ab480371400593ef5b0024330cedd646658e71b0243d1c539,internal,call,0.000855322033898 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539314837,6500928.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x2e989562ddc836c159d734821524d1c738de0477d7c87409b506c957a2eac75b,internal,call,0.003022644067796 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540983180,6619176.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x25202f50e625f91e240ee59b4ced5f9860941db83f05c7b49135c6af5f492b94,internal,call,0.000830779661016 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540467135,6582681.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,1,0.0,0x800b37663aeba50905cdb62513bd7299e2fd963a111537446fdae06a58f76f68,internal,call,0.002491796610169 Ether
