Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532929572,6057520.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x7afdedcb9d9a49db3e71cee8d580500a712d90454bd0e46c02a7961bad6a848e,internal,call,0.280806739797961 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532965505,0.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,2,0.0,0xe6578798efdf74bcc8629a599b5ca6957f06b080623d509cb5c78e01067ee4bf,internal,call,1.579546997707325 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532900804,6055546.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x5d1309ca2d79e96662922558746fa66aefac2e46b3b65ae01a2befee26624b9b,internal,call,0.018972886102152 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532895349,0.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x3d53f14fe46c68a100c9ba1d7f4aca33efe14dad42bc2140e0accd1bd2828a4b,internal,call,0.00082016442507 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1533235513,6078391.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x8c11ab0a71b551d6d883e3a9bd70ad24d6de2bfe1ddbc75b906afe70b67a463f,internal,call,0.020988117782279 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532904655,0.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x7f98747eeac153234b24dc27d7702a4c8b3dc49f8bc0cb83f83c2620c09fd130,internal,call,0.007971212114965 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532894701,6055110.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,2,0.0,0xdc6ede242bdd8528c9cfe48971d88cb75a725ac6a2c0148e13417abbf695710f,internal,call,0.002701925975678 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532912693,6056367.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x05da63c10c8582655b1dd456648f6f493dfb6a92122c32d5fa6144749b453585,internal,call,0.102067292716483 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532737297,0.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x5f8eab49a7b8987d1c15cd10a104945d79b4333b694c4b241319f36cf9ff4a00,internal,call,3.194499861372817 Ether
1,0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8,1532903527,6055737.0,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,OUT,1,0.0,0x6793eb0bf56b50332be586b4b62652d10797092eb475899b127d0b199e38f3b1,internal,call,0.017517416501048 Ether
