Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539407059,6507496.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0xe0901089018423fd66844fe4754074aa17e8311b2312b8939578314121451093,internal,call,0.104420898305084 Ether
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539406808,6507476.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0x855d8da9dfe58078a167adb437aa52e2fa47a4457251385d4937dd43f2b708f9,internal,call,0.0048 Ether
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539449636,6507443.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0xc740e9d817fe948e9e92b34320e7a7daa014f98924b85b09952947d7a1956d55,internal,call,0.0048 Ether
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539449486,6507435.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0x476cb16624f71201d4b053167419b851b5a5c38e556b4853f9d1acf126868565,internal,call,0.0048 Ether
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539665003,6522796.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0xa224f53f638603b1cc03cb618d7663f5608480b0d35ada09f33ceec8363b573f,internal,call,0.102202779661016 Ether
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539246841,6496039.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0x7077716b6f33dcff59fee928b8950f1ca2bebc7908c5c2c2a077ae92be7f9085,internal,call,0.016796745762711 Ether
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539275934,6495047.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0x0ec66ecc44f35cece9c46598bbb0b495085919a12712228fb0fd42a722b77499,internal,call,0.000146745762711 Ether
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539485507,6513075.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0x02e5631b00c0bfdd9444335b3a4d3da36266737c2992dc3fb94880d5bdd89e3d,internal,call,0.03 Ether
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539485203,6513051.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0xdac77132b7036da0588406a9761df95448583e387261da1c80f2212729c79602,internal,call,0.094058389830508 Ether
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539400116,6506988.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0x248953a83764af3e0d076417a833bce9a9975f7da7b2eaa7444bffd006337081,internal,call,0.0045 Ether
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539320665,6501329.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0xb2e8961fba035f14e3af6776dcbcf7041e5ccf99c0ee4bb3b3fbf29e4598af03,internal,call,0.054555559322033 Ether
1,0xbf91b27fec3146a1b36069f92337a0ea330725df,1539318777,6498107.0,0x76130fd699cd7ab670c51e699e67d3eea4b8f8db,OUT,2,0.0,0xd72d9897461e6b103a794d2ed33b8414b34f92dbe6f43a342df2cb84491d4aba,internal,call,0.035015796610169 Ether
