Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539775879,6533680.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00022172,0x153e8cc25e650aec8d27c953a489d3f9f65ae7c4b9f527078248d3fd69e861f5,external,0,0.5 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539942364,6545468.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00016268,0x16f85b535fe72a560194eb6f69b0e8ff13e0240230fb615b4d7ac3680cbbd44d,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1540555050,6588872.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00020335,0x5ca2b513efcbbd1a0922947aab4fd5b407074d39564008c75c60d81c900643d8,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539478070,6512541.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00029562,0x8592c38c4d7861874f357daa548238873d56c37b21730ff9b86af569b2153bc0,external,0,0.1 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1541295890,6641242.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.0002035,0x8b8a7fb2af15aaa8e612ac057e516c14161d8ba2a7d42329cbbf2f67e0c1142c,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539864149,6539964.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00016268,0x8bc4e4ee2542223f90d647a7116cc8b58c0c73521d600f0274b228bc26cbcfb9,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539774898,6533612.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,8.134e-05,0x8fee7314f0a0f8ba01b75ef6487f335c1925ff54bace28d14aa0ce434e2cb928,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539864346,6539986.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00029562,0x9e4f935e25a920cb8a7589bad91b484b7e5f415e320623f2cf0fe50fd7ad675c,external,0,0.067 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539690271,6527608.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00016268,0x9ff5da64db8ccba7c8acdeaaad8903297515a7abf18b0baf7f9bf79e4fd7a502,external,0,0 Ether
1,0xbeefd8fb3b5778f99e021afa2e41e0614af6af11,1539434433,6509494.0,0x300758881bf3756b6cb5b2e96f545d7b3566ce3a,IN,3,0.00389733,0xb31ed1e2fec1f173faeb04d6d38a80ef06d8cdcee6831fff790ef92e5d032ce5,external,0,0.01 Ether
