Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1547002876,7036511.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xf9b40033f65e26d99a3c55296999a7aa3aeb6d94ec54a240320bc226548c0c7e,internal,call,0.013983626918001 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1546783007,7022268.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x51632795625c2553f946fd20302e3628d3c836ecb16eaaf55d754b5dfb5e5137,internal,call,0.021993065126036 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1547185731,7048278.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x6d8d8848b2220450a310d0a37228d83a6aa7bb702428715011618bae6b119582,internal,call,0.011552716277758 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1547464219,7066327.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x0b38e0182ff640067ffc2ccd18c22f001085258008a2f1fafc1dd0f02858ae64,internal,call,0.017720317506354 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1546436277,6999867.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x235b7736f0ea5491df81db11b7dac66fbdc1a045bd4abe1c39b35f48af1b4a57,internal,call,0.002735512190952 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1546395075,6996992.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xda259ecc3a3850389d4e8ce45f282f8462fcfedd8c31b86a6aafc3b6a31a93ac,internal,call,0.000190673605256 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1545987754,6969125.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xc0caf696c0b04a28245f3c1daaed73616852dfcfd4f8ead7c9e2f3a6e0dfd929,internal,call,0.000014406779661 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1545987502,6969108.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x089e7b2c802993a096ab1908297c72123324d071362d909d61f43b4146e44161,internal,call,0.021910169491525 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1547876451,7093075.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xeae85d57f6dd8a060ce61e4a1d02f822e0ef00a3abf739d34af967c4b16f38a0,internal,call,0.026260903798546 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1546391986,6996788.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x83cc817c555cc8f0166af6a49efb73a1081a9bcafdd1b0d18a33e9fb4059d4ca,internal,call,0.01085717940518 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1546221681,6985172.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xf81b2f9527e760489ba55014c33189a3c896b62679cf3551f27d20ef83baa367,internal,call,0.014998722272291 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1546221566,6985162.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x3cbdf925147d9015c3061404df572a2a97409f796097a4421419f5ced291a02a,internal,call,0.014989375526935 Ether
