Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543268599,6780511.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x3047309bd446647b2f8c289d1f75276e54effc2412e291fa94908f3b9d209625,internal,call,0.01861152087057 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542067160,6695735.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x69eaba05c7272467b86ff8c21aec6181f7ef2588e1aaa7814c482d5a9ae18b71,internal,call,0.014534234888282 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541452194,6652199.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x1ba8cd564d04608017674251e5008706307b995c64e8a8db89020de10e37afe8,internal,call,0.012364910702552 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1540899408,6613212.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x4ece00aabe57a6a7eaa6c9c409881466b92f383824e9d6cb41accaf8d6859161,internal,call,0.011272275257702 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1543041013,6764429.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x4a5eb760f2fc99d60910ffb2be7698de60bc533c302c54ecfbb267b919fb2451,internal,call,0.021196849584999 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542276072,6710417.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x0398dc93a42008c699551a1e620266f8997d97d477350e14fbfbd7dd3e8fb832,internal,call,0.017084399076008 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542755487,6744258.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x73d45114977998790174174001c24d7cf897e0458cc5d433192b7ca40e1a669f,internal,call,0.021196849584999 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541135332,6629831.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x04d4bc609db3536aa7f73e37440048a026e32763c009f7c7d1055ea425df4f79,internal,call,0.009394489531734 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541889432,6683108.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xbcd7878f25694076b494cdc15f004377265b7c40273ea1ace4790afbd9e9a041,internal,call,0.01973433238601 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541020454,6621763.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x13f0b3c143865840b7f84e2992505f65b73c730206a5fe146865bf866bcc8c3b,internal,call,0.009898896045007 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1542494220,6725877.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0xe67222962bb7ea52545e85d817e7a38aba72d76f1f05f0309960a59527bfb05c,internal,call,0.017839700398412 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541648116,6666045.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x979a9d7d57715876ecc3e8a93cbf2a4ab819dfa06e8a347b7b2a243267390940,internal,call,0.016022103257686 Ether
1,0xb2816223fddc21aca553ba208c7b7a13b27c207c,1541300993,6641567.0,0x50b69eb0234c84e44a6951ba0ad2e316a81d0900,OUT,2,0.0,0x98fa45d4da3d75b38f3387f7bc410ecec98ddcaf69cae04f75ef2daa75777290,internal,call,0.013547420135419 Ether
