Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539981264,6548238.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x95627ceac2f59f7195d296858cabfa541b1ded9a98eac7c4aab0eab293113f8e,internal,call,0.060578472222222 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1541320759,6642990.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x0fa2f0f860c18c286b325b3dd0b71b6eb1182fc342ac3f6bd38ff962574466a4,internal,call,0.070572222222222 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540675801,6597436.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0xbde005d8f4ad55f8b2c51a653b4da7fef1eaba820fd68305de22fdba52bead10,internal,call,0.053009027777777 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539807644,6535965.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x1512c078ea01cc4a4877e766e857d9feec44e7471f14121fb03f05355e199741,internal,call,0.06070625 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539635733,6523772.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x533aca59d713e477fb7a11e6414703a5c92ef60aa06b590a027d74bffc4c7bf2,internal,call,0.093845138888888 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540451077,6581515.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x900861cde6057fab509eca9a8c5291422294562af0724b0b78c26802d8a0484c,internal,call,0.028078472222222 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540324926,6572583.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0xfa40ec3624be14442bd4ff8d5bec2c9be7b5b4d815f9d355ed315ffb8d48cc10,internal,call,0.082243055555555 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540949521,6616813.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x190aabd6807e3c4a41fd1855492a86eef8974bade62404ab96867c2d672fb3cb,internal,call,0.104786111111111 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540758804,6603310.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x7760fb7c1d4f20f6cb6997cf29b9090db966960f5a4b93a1addc650523afbe9d,internal,call,0.023168055555555 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540725442,6600960.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x7416438006414fda75a48c05224bc86ebd8d90fd91374ac6298e130351c93de9,internal,call,0.034472916666666 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540599468,6592046.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0xcd741a6c7e02e3eb135e2504251423e6c736635d7f23da51f41017cc83b73424,internal,call,0.039513888888888 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1541058035,6624428.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x55cf368e0fbc4c8c796bd2f1a950fbe5b111b3a3d4c446eabdc2a458d6752bed,internal,call,0.075356944444444 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540023913,6551260.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x3687f26dd4950886cfa98b796f9a8c8417ce7eab6fecff0b729dff49daedd1e8,internal,call,0.029617361111111 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540798629,6606097.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0xbbd93794bba29de24e5c6bef38db077411c49447383fa106f07f2b5ad7d48d7e,internal,call,0.02765625 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1540410644,6578664.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0xb1e504779d7ef24f1e76fee7050b2d6e47a794c450415850027f8fc2941ba8c8,internal,call,0.059526388888888 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539500596,6514178.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x54c90360499cc0796487e5b95d460209affd76f1b1316dd3e6691ce38159f71a,internal,call,0.045796527777777 Ether
1,0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678,1539720227,6529761.0,0xcc1ceb36cab5ada7fd0376b55602dd0d4b429c30,OUT,2,0.0,0x0f738f0a736396c736db138813f3320300d5b021f72a9d59340ef547288d033a,internal,call,0.026908333333333 Ether
