Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537867855,6398131.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0x1258a8561842581c0a44bc4997f6096a6f935a70f352df4dccc4912230172e21,internal,call,0.319444444444444 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537859274,6397508.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0x27bf0f7e0c6f58a10d69c0aa37f3b14df1c5ebcea0383ff90835e2e86099a453,internal,call,0.215277777777777 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537896568,6400197.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0xfff8822d74687788af35a3ac4b35862c24e90c78789cb97610757415c9131f1d,internal,call,0.326388888888888 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537922626,6402021.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0x7da903112731942e58268c41509767aed8e84dd53bcfd6d643b42155a20e9d73,internal,call,0.256944444444444 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537920387,0.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0xa276f160d398c734c727f0ddc275dc73c82efd5ddc83750f159a977481ae6597,internal,call,1.222222222222222 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537852370,0.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0x01034ec832dd1db6bc9f927ab517209e3b14527107aecb28f046e5489d5ec843,internal,call,0.133333333333333 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537909805,6401088.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0x82f387ab0228cf02ac28531354b225666d27f57e57490133e22a9e7eca9dc9a8,internal,call,0.361111111111111 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537881899,6399122.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0xaae115e962466910698c19a3dc6bec2a01743ad3eaaa5f4f332a5ad580f757fe,internal,call,1.625 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537860738,6397630.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0x87d55dc02db4ed8a90d2f05d3007a107d6738c70480c4c72943c6e8eeda4e2dd,internal,call,0.166666666666666 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537936965,0.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0xe23688804fff83d48da7dae669df33cb54202dc19d818bcd8fd450b49a01c408,internal,call,0.006944444444444 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537936896,0.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0xed0850ef6f8f886a73f504719293f9c8d5a3ec700483a363a7aec57fb444a058,internal,call,1.361111111111111 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537854555,6397184.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0x88807815f9b1d9367d532cfeffc6c9e3c34ac723c36794567b971ce7c03704c0,internal,call,0.25 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537906684,0.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0xa2f9dc62fb1f4e486dcc9b03b28dbe0214ea58cbe1ac731f07bd5a72ee06a39c,internal,call,0.1875 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537905087,0.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0x124dc3cc6215f867178df1b78fd23c69da0919e47d801f0da9b8a8e29f4474c7,internal,call,0.986111111111111 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537857461,6397382.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0x93613e93c67ec8986a9a94b822655048a3c3991158e25c7db3c2653f6d947680,internal,call,0.333333333333333 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537863458,0.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0x74cc1354d42065a24c6ed9b51d7073469a00561aeb92464fbf7698140511b1f1,internal,call,0.131944444444444 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537862296,6397747.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0xa57f2d45e598578be4741162e103005c060aecfcb73db61874d8a18171ed259e,internal,call,0.180555555555555 Ether
1,0xf00e5a59fde1cb2ead96a8be7711abc3f981e0f1,1537865121,6397940.0,0x96bb98183e5562913e72613c1979d0a13f8ec76b,OUT,2,0.0,0x04e2f523c16338552307743fc47cc5ceae98da2d8963d0219bd3d21b3371c73f,internal,call,0.194444444444444 Ether
