Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1545094190,6908128.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xd52a70f12546b9f91b4baecf07b326c6f6cc914d85f74656205f7117360e0cc9,internal,call,0.044887288135593 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1542846966,6750651.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x5d439251c3bbfd07bd62874a1e2280a5b97d41d00edd961df2e01c268efa8a27,internal,call,0.046281355932203 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1546752434,0.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x3239011cef9c19c9afd22f46a48b7e11fd9df7c10ede6d9c967f1e0e1980e6d9,internal,call,0.034424576271186 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1547270800,0.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xdb51c78a426cd327c85e322fe7fba98a7a194e0d3b98b6c0f0e655100b133e4b,internal,call,0.028417796610169 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1545579067,0.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xccbfe1a46435ff80e16df96990c3aaeed438f278ff57755072b3b55b223993e6,internal,call,0.027922881355932 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1542071682,6696039.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x5fdf4a33272cd022df4e8e76ce58a09f64affd5c2201db4afdab8b56844a844c,internal,call,0.041903389830508 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1540607765,6592638.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x9a0744af2facc68ed9e2a056d1ee147e54445e305c161fc7bbed82cbc5f6f8ef,internal,call,0.036594915254237 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1539030420,6480670.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xc086475fc6b017b2912b0d980ddda0f37b5653326ef26358b8a9e0bc5a5e2fd0,internal,call,0.040474576271186 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1547885483,0.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x5f20e83a42c0eaa55ac0cfbc80434ae1a8abc5762f3f43b2e50ca4f801bf78cf,internal,call,0.033797457627118 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1544336673,0.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x755f66c6ad1a7d5c29bbd7b12503fbed29b4c9de0549b067d2cfb8522a5d0236,internal,call,0.041848305084745 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1539998997,6549456.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x42ec50c3c6149826d75a70d5d079f0508c76ee628e8e00a2be67e47e14900cd9,internal,call,0.029668644067796 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1546141629,6979656.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xc3e670e4aadd69e269981e17482ffe1efd715309fff60b8ec498624ef7ddc90d,internal,call,0.03269406779661 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1541372884,6646593.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0x962bcdc9b301b679a33bbc006305dd6c8c1651cf622904135ca01817cccaf142,internal,call,0.045724576271186 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1543629199,6805780.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xf5f4533221f3d5c0513d312a4cc7b662984f07e8f97ba0aac2cdf9b1fed11b48,internal,call,0.046719491525423 Ether
1,0x35027a992a3c232dd7a350bb75004ad8567561b2,1539504290,6514447.0,0x7c76a64ac61d1eeafe2b8af6f7f0a6a1890418f3,OUT,2,0.0,0xdeb7ea4d0aa046680d7a8d8752f7dd4458aae2d3082480b878dff5ff4be18c17,internal,call,0.028624576271186 Ether
